Geo_Shape,Distance,Departure_PTCAR_ID,Arrival_PTCAR_ID,Departure_Name_FR,Departure_Geo_Point,Departure_Classement_FR,Arrival_Name_FR,Arrival_Geo_Point,Arrival_Classement_FR,disabled
"[[50.94312325212488, 4.038683507111515], [50.943126937548406, 4.038538749463085], [50.94407641428437, 4.036478612160731], [50.94567895287453, 4.033341858735144], [50.94734003313086, 4.029866507442671], [50.94768934669779, 4.029004208955919], [50.94794149719531, 4.028117058628123], [50.94821624613981, 4.024772702343128]]",1.1578295747566698,104,6,Aalst-Kerrebroek,"50.94821624474852, 4.024772702544726",Point darrêt,Alost,"50.94312325073359, 4.038683507313092",Gare,0
"[[50.91929248249657, 4.055478044299814], [50.931171276259164, 4.052102121168622], [50.93312826398175, 4.051518282165499], [50.93375112421288, 4.051263279035365], [50.93391537042328, 4.05118187723125], [50.93534292604715, 4.050041925148592], [50.93653755329412, 4.049055382200532], [50.93910939899407, 4.047242084304941], [50.939753154345055, 4.046594430323555], [50.94051860691228, 4.045261282996099], [50.94312325212488, 4.038683507111523]]",3.0594797629027997,365,6,Erembodegem,"50.91929248110489, 4.055478044501364",Point darrêt,Alost,"50.94312325073359, 4.038683507313092",Gare,0
"[[50.9431232521249, 4.03868350711152], [50.943209977910065, 4.038628957607316], [50.94373946054893, 4.037376202021873], [50.94417010625852, 4.036454898937833], [50.94600635911728, 4.032794957912319], [50.970970941375874, 3.985076835022102]]",4.87963594888531,701,6,Lede,"50.97097093998483, 3.985076835223766",Gare,Alost,"50.94312325073359, 4.038683507313092",Gare,0
"[[51.09225779139449, 3.447855382940145], [51.10057740057299, 3.409341563292913], [51.101272890684115, 3.406296326758917], [51.10201931303806, 3.403365813476002], [51.10297043216669, 3.400006542893078], [51.103768932996815, 3.397447838533359], [51.10757473497731, 3.386700586663823]]",4.6223638930631,797,8,Maria-Aalter,"51.107574733585274, 3.386700586866435",Point darrêt,Aalter,"51.092257790002506, 3.447855383142661",Gare,0
"[[51.08372389725801, 3.487287359353551], [51.09225779139449, 3.447855382940146]]",2.92134601367045,136,8,Bellem,"51.08372389586611, 3.487287359556004",Point darrêt,Aalter,"51.092257790002506, 3.447855383142661",Gare,0
"[[50.98449635540834, 4.82369834788694], [50.985056054993414, 4.824103041825921], [50.98651037666828, 4.825299133910419], [50.99115435079689, 4.828740993079095], [50.99272621540015, 4.829945523316381], [50.99492235721933, 4.831519397174716], [50.99574887645388, 4.832066950810463], [50.996316610782834, 4.832359110176313], [50.99700752257565, 4.832610759666248], [50.99768067332452, 4.832750271812471], [50.99833302986301, 4.832794634984819], [50.99987499961175, 4.832761920834896], [51.00125089096877, 4.832683891995478], [51.00179124547524, 4.83252206674299], [51.0024330063284, 4.83222155275744], [51.003082271827004, 4.831829924002338], [51.003563687582194, 4.831477299834751], [51.00414863336958, 4.830971108220051], [51.00462375611239, 4.830492101226271], [51.005208513942605, 4.829803585337991], [51.005507946850244, 4.829402256991331], [51.02202332433806, 4.800439914572372]]",5.27493276125206,132,9,Begijnendijk,"51.022023322953466, 4.800439914772679",Point darrêt,Aarschot,"50.98449635402312, 4.823698348087205",Gare,0
"[[51.00246923181287, 4.863538493784459], [50.999299754945305, 4.842520829607943], [50.99897489634847, 4.840506606946983], [50.998750735999145, 4.839388979509332], [50.99846420860824, 4.838286549603318], [50.99807482973779, 4.837083598733208], [50.99764454966581, 4.835990589909739], [50.997192274196046, 4.83502380844614], [50.99666106171023, 4.834057827624088], [50.996136971063926, 4.833255257217803], [50.99552393044516, 4.832462934120793], [50.99481741391048, 4.831711656991673], [50.99310557481663, 4.830251662145463], [50.99272621540015, 4.829945523316381], [50.98692621096771, 4.82562563184659], [50.98449635540834, 4.82369834788694]]",3.73152401946613,686,9,Langdorp,"51.0024692304283, 4.863538493984656",Point darrêt,Aarschot,"50.98449635402312, 4.823698348087205",Gare,0
"[[50.98449635540834, 4.823698347886938], [50.98264705438757, 4.822325707112844], [50.98177841797152, 4.821626551952026], [50.98103461721381, 4.82086298114202], [50.980411784541594, 4.820070341022038], [50.980023231644914, 4.819494146670533], [50.97959984966155, 4.818775299537177], [50.979211155548946, 4.818011160090433], [50.978811027726884, 4.817085446579811], [50.97690143072746, 4.811783004099225], [50.96887395769697, 4.789302833101039], [50.96863052514797, 4.788486888167679], [50.9682437316436, 4.786844528660912], [50.96238864637282, 4.75884449354082], [50.96215703292155, 4.757992621748748], [50.9619039390566, 4.757205560291115], [50.96146326826859, 4.756067359943527], [50.96113192100722, 4.755345009313122], [50.95636089869389, 4.748012297469643]]",6.32441236336817,1238,9,Wezemaal,"50.95636089730757, 4.74801229767004",Point darrêt,Aarschot,"50.98449635402312, 4.823698348087205",Gare,0
"[[50.98449587775488, 3.41837146644795], [50.98521017918432, 3.410963554310505], [50.98799469379336, 3.38216208355965], [50.98875949822639, 3.374184017766656], [50.99079403196631, 3.352907615425091], [50.991890950845495, 3.341295138401457], [50.99191947641097, 3.340811685014955], [50.99195323131197, 3.339903204868803], [50.99196028711625, 3.338854353927519], [50.99191749528699, 3.337473201030539], [50.99188334596898, 3.336928315735868], [50.99181138925596, 3.336080838144103], [50.99174009825354, 3.335437868243074], [50.991694096193285, 3.335076336847947], [50.99165835030381, 3.334818692328533], [50.99159529015646, 3.334400117400238], [50.991449135871925, 3.333562612113939], [50.99129622737363, 3.332819719054962], [50.991193258097105, 3.33237346629329], [50.99096556250052, 3.331489184817665], [50.99076463718603, 3.330765172088573], [50.99003689048316, 3.328627110235745]]",6.40420595217736,1145,10,Tielt,"50.99003688908823, 3.328627110438443",Gare,Aarsele,"50.98449587636041, 3.41837146665051",Point darrêt,0
"[[50.9781328604359, 3.535002801077202], [50.97814608115416, 3.534644525836111], [50.977957598531745, 3.533860368730649], [50.977749348206494, 3.53311322405529], [50.97739715126171, 3.53197532719947], [50.97698819458549, 3.530711224054362], [50.97662090901034, 3.529738172102608], [50.97542236547304, 3.527102138197834], [50.97515808219572, 3.526501317993028], [50.975058962145404, 3.526244180409521], [50.97496735914587, 3.525983307829485], [50.97487193482375, 3.525678067048151], [50.97480540326981, 3.525440444829028], [50.974719594029025, 3.525091839908379], [50.97465257414345, 3.524773417849595], [50.97451449748555, 3.52384702262963], [50.97445681441805, 3.522962683323203], [50.97446029875186, 3.522275862993213], [50.97446879181442, 3.522090606903641], [50.974484054260905, 3.521840655571198], [50.974508927511664, 3.521534215308987], [50.97454236273397, 3.521177138923322], [50.975365140383666, 3.512761694309331], [50.978587740133634, 3.479604371019671], [50.97893713755073, 3.475728413238299], [50.98449587775488, 3.41837146644795]]",8.383183688507101,317,10,Deinze,"50.97813285904206, 3.535002801279582",Gare,Aarsele,"50.98449587636041, 3.41837146665051",Point darrêt,0
"[[50.770949248522925, 3.872417489184946], [50.770786108325964, 3.872299057147825], [50.7697079648851, 3.871674517068566], [50.766839512696045, 3.870039436386816], [50.766620050907, 3.869906843250849], [50.766061949959294, 3.86951587219744], [50.765292264468044, 3.868846226406254], [50.76457506149113, 3.868144954970056], [50.76414553189961, 3.867673455381512], [50.763725665512844, 3.867170677389804], [50.7629860880675, 3.866168474868183], [50.76257914440883, 3.865543595670576], [50.76222105303362, 3.864944891269442], [50.76186138776437, 3.864290358169798], [50.76159966002607, 3.863783025029913], [50.75894816145127, 3.8585386276183], [50.75814346645984, 3.857093540748461], [50.757482027522485, 3.856074111901629], [50.756817576175145, 3.855179675659686], [50.75606575148267, 3.854299114523879], [50.755262753187125, 3.853486954129616], [50.75423942827698, 3.852617347389995], [50.75366255027003, 3.852207823320792], [50.75256833097559, 3.851568402497537], [50.751699946963726, 3.85117142809068], [50.75078180335796, 3.850856142384046], [50.74990497768696, 3.850652206605444], [50.74900279697674, 3.850534526821177], [50.7484387009375, 3.850509479149068], [50.747821159614624, 3.850525120037368], [50.74673376481964, 3.850664379626526], [50.746362754851226, 3.850740925886102], [50.745512867032964, 3.850937399937645], [50.74452342048066, 3.851146805782302], [50.74336489753107, 3.851262097379174], [50.74263378439881, 3.851251131755317], [50.741835868391654, 3.851167296133293], [50.74106026760961, 3.851016842148803], [50.74028663569121, 3.850793266637955], [50.73286590540343, 3.847018189191551]]",4.822783016219001,458,12,Grammont,"50.77094924712692, 3.872417489386795",Gare,Acren,"50.73286590400645, 3.847018189393436",Point darrêt,0
"[[50.73286590540343, 3.847018189191551], [50.726752314408294, 3.843791986695286], [50.722520107968215, 3.8414961257453], [50.72088625338327, 3.840566883797198], [50.71933252324004, 3.839475510428054], [50.71887576635658, 3.839177028397855], [50.71828892555974, 3.838851666839296], [50.717221907044944, 3.838317753957885], [50.71672555930297, 3.838087697752695], [50.716581030863324, 3.838028504979236], [50.71633147553281, 3.83793351007599], [50.71622621476064, 3.837896252967939], [50.71601343800726, 3.837825453985302], [50.71290774870706, 3.836861179155217]]",2.3373919394454,710,12,Lessines,"50.71290774730962, 3.836861179357119",Gare,Acren,"50.73286590400645, 3.847018189393436",Point darrêt,0
