Geo_Point,PTCAR_ID,TAF_TAP_code,Symbolic_name,Abbreviation_BTS_French_short,Abbreviation_BTS_Dutch_short,Abbreviation_BTS_French_complete,Abbreviation_BTS_Dutch_complete,Short_name_in_French,Short_name_in_Dutch,Middle_name_in_French,Middle_name_in_Dutch,Complete_name_in_French,Complete_name_in_Dutch,Classification_NL,Classification_EN,Classification_FR
"50.92336349484445, 5.497283037697588",443,BE00443,FKGLF,GENK-ZD-FORD,GENK-ZD-FORD,GENK-ZUID-L.O.-FORD,GENK-ZUID-L.O.-FORD,Genk-Zd-Ford,Genk-Zd-Ford,Genk-Zuid-L.O.-Ford,Genk-Zuid-L.O.-Ford,Genk-Zuid-L.O.-Ford,Genk-Zuid-L.O.-Ford,Station,Station,Gare
"50.4005740004678, 4.458826995398579",275,BE00275,GCRA,CHARLEROI-AT,CHARLEROI-AT,CHARLEROI-A.T.,CHARLEROI-A.T.,Charleroi-AT,Charleroi-AT,Charleroi-A.T.,Charleroi-A.T.,Charleroi-A.T.,Charleroi-A.T.,Dienstinstallatie,Service installation,Installation de service
"51.306684000139434, 4.293915995543157",1748,BE01748,VOIL1,V.OILTANK1,V.OILTANK1,VERB.OILTANKING 1,VERB.OILTANKING 1,V.Oiltank1,V.Oiltank1,Verb.Oiltanking 1,Verb.Oiltanking 1,Verb.Oiltanking 1,Verb.Oiltanking 1,Verbinding,Connection,Raccordement
"51.30830200013849, 4.290240995544578",1749,BE01749,VOIL2,V.OILTANK2,V.OILTANK2,VERB.OILTANKING 2,VERB.OILTANKING 2,V.Oiltank2,V.Oiltank2,Verb.Oiltanking 2,Verb.Oiltanking 2,Verb.Oiltanking 2,Verb.Oiltanking 2,Verbinding,Connection,Raccordement
"51.33550500012864, 4.283472995549476",1751,BE01751,VIBR,V.IBR,V.IBR,VERB.IBR,VERB.IBR,V.IBR,V.IBR,Verb.IBR,Verb.IBR,Verb.IBR,Verb.IBR,Verbinding,Connection,Raccordement
"50.605957578036936, 5.568461420641613",1036,BE01036,RENO2,RENORY 2,RENORY 2,RENORY 2,RENORY 2,Renory 2,Renory 2,Renory 2,Renory 2,Renory 2,Renory 2,Verbinding,Connection,Raccordement
"50.80145243926882, 4.303748330573521",2010,BE02010,2010,BR-FL L96L/8,BR-VL L96L/8,FRONT. BRUXELLES-FLANDRE 96L/8,GRENS BRUSSEL-VLAANDEREN 96L/8,Br-Fl L96L/8,Br-Vl L96L/8,Front. Br-Fl L96L/8,Grens Br-Vl L96L/8,Front. Bruxelles-Flandre 96L/8,Grens Brussel-Vlaanderen 96L/8,6,6,6
"50.48170483709032, 3.808187577395428",1351,BE01351,RYARA,R.YARA,R.YARA,RACC.YARA,RACC.YARA,R.Yara,R.Yara,Racc.Yara,Racc.Yara,Racc.Yara,Racc.Yara,Verbinding,Connection,Raccordement
"51.08555875432921, 3.718855591254594",1888,BE01888,FWOB,WONDELGEM-B,WONDELGEM-B,WONDELGEM-BUNDEL,WONDELGEM-BUNDEL,Wondelgem-B,Wondelgem-B,Wondelgem-Bundel,Wondelgem-Bundel,Wondelgem-Bundel,Wondelgem-Bundel,Station,Station,Gare
"51.30621407260127, 3.246379854725939",2155,BE02155,BR899,BRAM-TANKIN.,BRAM-TANKIN.,ZEEBRUGGE-BRAM-TANKINST.,ZEEBRUGGE-BRAM-TANKINST.,BRAM-Tankin.,BRAM-Tankin.,Zeebr-BRAM-Tankinst.,Zeebr-BRAM-Tankinst.,Zeebrugge-BRAM-Tankinst.,Zeebrugge-BRAM-Tankinst.,Dienstinstallatie,Service installation,Installation de service
