PTCAR_ID,Name_FR,Geo_Point,Classification_FR
104,Aalst-Kerrebroek,"50.94821624474852, 4.024772702544726",Point darrêt
365,Erembodegem,"50.91929248110489, 4.055478044501364",Point darrêt
701,Lede,"50.97097093998483, 3.985076835223766",Gare
797,Maria-Aalter,"51.107574733585274, 3.386700586866435",Point darrêt
136,Bellem,"51.08372389586611, 3.487287359556004",Point darrêt
132,Begijnendijk,"51.022023322953466, 4.800439914772679",Point darrêt
686,Langdorp,"51.0024692304283, 4.863538493984656",Point darrêt
1238,Wezemaal,"50.95636089730757, 4.74801229767004",Point darrêt
1145,Tielt,"50.99003688908823, 3.328627110438443",Gare
317,Deinze,"50.97813285904206, 3.535002801279582",Gare
458,Grammont,"50.77094924712692, 3.872417489386795",Gare
710,Lessines,"50.71290774730962, 3.836861179357119",Gare
643,Koksijde,"51.07870834338987, 2.654140285690531",Point darrêt
392,Farciennes,"50.42914428231437, 4.552667151871713",Point darrêt
1125,Tamines,"50.43208242350686, 4.608866937373713",Gare
1090,Saint-Trond,"50.817688764469715, 5.176520546199805",Gare
523,Hasselt,"50.93094538925335, 5.326071324265482",Gare
530,Haute-Flône,"50.55424859604318, 5.331294580831143",Point darrêt
24,Ampsin,"50.539173756838665, 5.288862317087052",Point darrêt
22,Amay,"50.545921914645234, 5.320609488070113",Gare
592,Huy,"50.527376420020765, 5.23403717341447",Gare
118,Bas-Oha,"50.52248171944925, 5.191103060283717",Point darrêt
262,Château-de-Seilles,"50.49721272363014, 5.08175263181655",Point darrêt
266,Chênée,"50.60835327179395, 5.614856781324154",Gare
208,Bressoux,"50.64438317205998, 5.612535756247273",Gare
726,Liège-Guillemins,"50.62555823894266, 5.565379651876698",Gare
1147,Tilff,"50.5702570335759, 5.582656168478611",Gare
1202,Voroux,"50.660695017365434, 5.431053889563294",Point darrêt
2011,Ougrée,"50.60537053844519, 5.536956573101103",Point darrêt
1278,Zwijndrecht,"51.21364024292829, 4.324671903885883",Point darrêt
819,Melsele,"51.21082656129773, 4.288506223272866",Point darrêt
1084,Sint-Mariaburg,"51.292675494968876, 4.434565179916575",Gare
58,Anvers-Noorderdokken,"51.261690355656995, 4.427946721182962",Point darrêt
155,Bierset-Awans,"50.65843789643829, 5.460786562849607",Point darrêt
715,Louvain,"50.88136570976269, 4.716208513181996",Gare
329,Dinant,"50.26073067041864, 4.908199790124128",Gare
442,Gendron-Celles,"50.21080405501195, 4.964650876926353",Gare
807,Maubray,"50.547359639807425, 3.496016879645529",Point darrêt
1154,Tournai,"50.61514181540238, 3.388492484545882",Gare
764,Anvers-Luchtbal,"51.24356131707571, 4.424880242553035",Point darrêt
61,Anvers-Est,"51.20666767062443, 4.434744621332205",Gare
139,Anvers-Berchem,"51.19887029477542, 4.432979473744141",Gare
30,Anvers-Haven,"51.291428018652965, 4.379600948050882",Point darrêt
352,Ekeren,"51.27723573928284, 4.432825280742256",Point darrêt
37,Anvers-Central,"51.21686203215482, 4.421083630148361",Gare
38,Anvers-Dam,"51.23174780608355, 4.426375562447598",Point darrêt
570,Hoboken-Polder,"51.18311487757247, 4.348667598576547",Point darrêt
1184,Vichte,"50.83350305904886, 3.392847172286867",Point darrêt
939,Audenarde,"50.85060234546347, 3.600671251771689",Gare
347,Eichem,"50.823907949239555, 3.993605086239898",Point darrêt
1256,Zandbergen,"50.80691967723847, 3.956989676658236",Point darrêt
433,Gastuche,"50.736438573987726, 4.649935387330966",Point darrêt
410,Florival,"50.76145683011463, 4.654204552903399",Point darrêt
1842,Messancy,"49.59402785546566, 5.818319581457532",Point darrêt
1198,Viville,"49.688283939127956, 5.785474662628208",Point darrêt
1266,Zellik,"50.88954331951614, 4.275293625248541",Point darrêt
841,Mollem,"50.932896545484454, 4.216581185274301",Point darrêt
405,Florée,"50.357541982477954, 5.056427261379705",Point darrêt
287,Courrière,"50.38773555534724, 4.995789831337536",Point darrêt
504,Hal,"50.73306025525547, 4.239823954654708",Gare
121,Silly,"50.66320539666523, 3.937245876119478",Point darrêt
989,Rebaix,"50.661048859047035, 3.793534075586853",Point darrêt
782,Maffle,"50.61404860297637, 3.800494581396216",Point darrêt
719,Leuze,"50.60055276521531, 3.616784177396661",Gare
1841,Aubange,"49.56331617817075, 5.800053519855491",Point darrêt
620,Jemeppe-sur-Sambre,"50.45094942154535, 4.662626762458582",Point darrêt
404,Fleurus,"50.483141102491444, 4.54483146656212",Gare
992,Coo,"50.39131334498257, 5.880941145912782",Point darrêt
996,Rivage,"50.48425613833228, 5.586577136839139",Gare
801,Marloie,"50.20321569366293, 5.314305549443508",Gare
532,Haversin,"50.24958547095278, 5.193879553114287",Point darrêt
319,Termonde,"51.02295197940482, 4.101327011961012",Gare
231,Buggenhout,"51.01631183680624, 4.20076013692758",Point darrêt
6,Alost,"50.94312325073359, 4.038683507313092",Gare
1186,Vijfhuizen,"50.94318180088229, 3.982544127397865",Point darrêt
106,Balegem-Sud,"50.90080462540978, 3.805776391176711",Point darrêt
1056,Scheldewindeke,"50.93780300020493, 3.777613995685378",Point darrêt
105,Balegem-Village,"50.92004303912495, 3.791056534066386",Point darrêt
1274,Zottegem,"50.86909906320353, 3.814701036136487",Gare
840,Mol,"51.19069542411164, 5.114991873556098",Gare
708,Bourg-Léopold,"51.117330659045955, 5.257878773158076",Gare
235,Burst,"50.90690477827913, 3.920956498165174",Gare
367,Erpe-Mere,"50.9285934590058, 3.962516720030864",Point darrêt
185,Bomal,"50.37689342007322, 5.519435934683051",Gare
